Time,Action
12:12:13,enter
12:12:21,exit
12:12:29,enter
12:12:45,exit
12:13:04,exit
12:13:12,exit
12:13:12,exit
12:13:19,exit
12:13:19,exit
12:13:20,exit
12:13:20,exit
12:13:20,exit
12:13:21,exit
12:13:23,exit
12:13:23,exit
12:13:23,exit
12:13:23,exit
12:13:24,exit
12:13:24,exit
12:13:26,enter
12:13:27,exit
12:13:27,exit
12:13:31,exit
12:13:31,exit
12:13:39,enter
12:13:43,exit
12:13:55,exit
12:13:56,exit
12:14:00,exit
12:14:06,exit
12:14:06,exit
12:14:11,exit
12:14:12,exit
12:14:19,exit
12:14:26,enter
12:14:27,exit
12:14:27,exit
12:14:39,exit
12:14:39,exit
12:14:41,exit
12:14:41,exit
12:14:46,exit
12:14:49,exit
12:14:49,exit
12:15:01,exit
12:15:04,exit
12:15:04,exit
12:15:04,exit
12:15:05,exit
12:15:08,exit
12:15:08,exit
12:15:09,exit
12:15:14,enter
12:15:16,enter
12:15:21,enter
12:15:26,enter
12:15:27,enter
12:15:28,exit
12:15:30,exit
12:15:36,exit
12:15:36,exit
12:15:42,enter
12:16:41,exit
12:16:55,exit
12:17:06,enter
12:17:07,enter
12:17:08,enter
12:17:13,enter
12:17:12,exit
12:17:13,exit
12:17:14,exit
12:17:20,exit
12:17:22,exit
12:17:23,exit
12:17:24,exit
12:17:26,exit
12:17:26,exit
12:17:27,exit
12:17:27,exit
12:17:29,exit
12:17:31,exit
12:17:32,exit
12:17:32,exit
12:17:35,enter
12:17:36,exit
12:17:51,enter
12:18:13,exit
12:18:13,exit
12:18:13,exit
12:18:14,exit
12:18:27,enter
12:18:28,enter
12:18:38,exit
12:18:47,exit
12:18:59,enter
12:19:01,enter
12:19:06,enter
12:19:04,exit
12:19:08,exit
12:19:08,exit
12:19:22,enter
12:19:31,enter
12:19:32,enter
12:19:44,exit
12:19:55,exit
12:19:56,exit
12:19:58,enter
12:20:05,enter
12:20:06,enter
12:20:10,enter
12:20:10,enter
12:20:09,exit
12:20:22,exit
12:20:23,exit
12:20:23,exit
12:20:27,enter
12:20:36,enter
12:20:37,enter
12:20:41,exit
12:20:59,exit
12:21:00,exit
12:21:05,exit
12:21:14,enter
12:21:21,exit
12:21:21,exit
12:21:38,exit
12:21:46,exit
12:21:51,enter
12:22:00,enter
12:22:08,exit
12:22:08,exit
12:22:08,exit
12:22:10,enter
12:22:11,enter
12:22:14,enter
12:22:20,enter
12:22:22,enter
12:22:26,enter
12:22:26,exit
12:22:36,exit
12:22:38,exit
12:22:38,exit
12:22:39,exit
12:22:39,exit
12:22:43,exit
12:22:58,exit
12:22:58,exit
12:23:02,enter
12:23:06,exit
12:23:07,enter
12:23:07,enter
12:23:08,enter
12:23:11,enter
12:23:12,exit
12:23:21,exit
12:23:27,exit
12:23:32,exit
12:23:32,exit
12:23:46,exit
12:24:01,exit
12:24:02,exit
12:24:32,exit
12:24:43,exit
12:25:21,exit
12:25:33,exit
12:25:34,exit
